RSI,超买,超买Deltea,ATR,下影线百分比,前值数,均线,初始均线下止损,初始均线上止损,初始均线下止盈,初始均线上止盈,均线下止损,均线上止损,均线下止盈,均线上止盈,杠杆,费率,最终盈利,最大盈利,平均盈利,最大亏损,平均亏损,期望收益,盈亏比,最大回撤,回撤时间,回报回撤,交易总数,胜率
6,25,0,6,55,5,55,1.2,3,1.2,3,2.6,5,2,5,50,229.44052916146612,2133.4546025497866,955.7741877907748,141.13865732738952,-136.95523919398076,-35.02765235686832,8.02,1.30,0.40%,20732,0.96,266,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,3.1,5,2,5,50,234.4708056755875,2116.4114476623686,955.7741877907748,139.62309596107312,-136.95523919398076,-37.36164676720242,8.27,1.30,0.40%,20732,0.94,256,0.26
6,25,0,6,55,5,55,1.2,3,1.2,3,1.6,5,2,5,50,219.1280068859804,2089.775963408955,955.7741877907748,134.43898833402324,-136.95523919398076,-30.83271484834808,7.31,1.31,0.40%,40235,0.94,286,0.23
6,25,0,6,55,5,55,1.2,3,1.2,3,1.5,5,2,5,50,218.6194433628918,2061.347799259514,955.7741877907748,133.6115628520106,-136.95523919398076,-30.574730085851503,7.18,1.31,0.39%,40235,0.94,287,0.23
6,25,0,6,55,5,55,1.2,3,1.2,3,1.7,5,2,5,50,220.1383619437116,2046.8331400134882,955.7741877907748,136.60502810053674,-136.95523919398076,-31.34171415835502,7.23,1.30,0.39%,40235,0.92,283,0.23
6,25,0,6,55,5,55,1.2,3,1.2,3,2.9,5,2,5,50,231.9673431541481,2035.273121909551,955.7741877907748,142.99466409119927,-136.95523919398076,-36.68239886560415,7.89,1.29,0.40%,40235,0.90,258,0.25
6,25,0,6,55,5,55,1.2,3,1.2,3,1.0,5,2,5,50,210.4893961755466,2007.1622062201857,946.0067958142248,106.6926563441832,-136.95523919398076,-31.004406344199307,6.80,1.30,0.39%,40235,0.92,295,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,0.8,5,2,5,50,209.4769346139796,1990.820444201937,946.0067958142248,96.49422895474856,-136.95523919398076,-32.49349593070599,6.73,1.30,0.39%,40235,0.92,296,0.30
6,25,0,6,55,5,55,1.2,3,1.2,3,0.4,5,2,5,50,200.30264571473867,1979.7822784530415,946.0067958142248,76.55382293558357,-136.95523919398076,-35.32645830473029,6.49,1.29,0.38%,40235,0.93,305,0.37
6,25,0,6,55,5,55,1.2,3,1.2,3,0.7,5,2,5,50,206.92933147248186,1966.0348836887104,946.0067958142248,88.21049124583575,-136.95523919398076,-33.56077014272961,6.62,1.29,0.39%,40235,0.91,297,0.33
6,25,0,6,55,5,55,1.2,3,1.2,3,3.0,5,2,5,50,230.91421787034412,1933.8108620185208,955.7741877907748,142.43859202834273,-136.95523919398076,-36.832097578438024,7.47,1.27,0.40%,40235,0.85,259,0.25
6,25,0,6,55,5,55,1.2,3,1.2,3,0.9,5,2,5,50,209.4769346139796,1905.4977990507332,946.0067958142248,101.51996752649296,-136.95523919398076,-31.865874126545812,6.44,1.28,0.39%,40235,0.87,296,0.29
6,25,0,6,55,5,55,1.2,3,1.2,3,1.3,5,2,5,50,215.53745477544436,1891.96064559904,946.0067958142248,121.5516135143764,-136.95523919398076,-30.628199608734896,6.50,1.28,0.39%,40235,0.86,291,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,1.1,5,2,5,50,210.4893961755466,1851.253710914944,946.0067958142248,115.78393518929762,-136.95523919398076,-30.392567842050113,6.28,1.28,0.39%,40235,0.84,295,0.25
6,25,0,6,55,5,55,1.2,3,1.2,3,0.5,5,2,5,50,201.3347357481202,1837.0807925268552,946.0067958142248,78.60643298125231,-136.95523919398076,-34.82939251020099,6.14,1.28,0.39%,40235,0.83,299,0.36
6,25,0,6,55,5,55,1.2,3,1.2,3,0.3,5,2,5,50,197.2100890658817,1816.5661871542163,946.0067958142248,72.95941402694649,-136.95523919398076,-35.74300667020489,5.96,1.27,0.42%,40235,0.78,305,0.38
6,25,0,6,55,5,55,1.2,3,1.2,3,1.2,5,2,5,50,210.98991265050645,1809.5065857544296,946.0067958142248,118.90084019867277,-136.95523919398076,-30.411504092567586,6.15,1.27,0.39%,40235,0.82,294,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,0.6,5,2,5,50,201.83588773248115,1695.2633536794608,946.0067958142248,80.71387448949079,-136.95523919398076,-34.353741503731165,5.67,1.25,0.41%,40235,0.73,299,0.35
